,id,perc_syn,method,sampling,map,map50,prediction,recall,fitness,precision,set,Unnamed: 0
40,a1zfc6nl,875,crucible_mediapipe_face,brisque_best,0.3393765461338,0.6918084645770435,,0.6507624,,0.6885944130636129,train,26.0
41,7tj50ml0,875,lllyasviel_canny,brisque_best,0.5037920733143073,0.8046843429580491,,0.7395914,,0.7955547125401938,train,27.0
42,as02aqg6,875,controlnet_segmentation,brisque_best,0.3798465780330949,0.7004510620998894,,0.6588117544210877,,0.7458384186251223,train,28.0
43,8mtqijn3,875,controlnet_segmentation,clipiqa+_best,0.401463522338486,0.7358235190866539,,0.6797895999999999,,0.7505773432973051,train,29.0
44,8mtqijn3,875,controlnet_segmentation,clipiqa+_best,0.401463522338486,0.7358235190866539,,0.6797895999999999,,0.7505773432973051,train,30.0
45,aa1bkd3w,875,lllyasviel_openpose,clipiqa+_best,0.5065807540064362,0.8343591881441484,,0.7766834280170717,,0.8170491544371693,train,31.0
46,cqlz5l7h,875,crucible_mediapipe_face,clipiqa+_best,0.2719488600481751,0.606336391482191,,0.5693354485529007,,0.6631647541761242,train,32.0
47,wc1f2plw,875,lllyasviel_canny,clipiqa+_best,0.4963638934052287,0.8077272691798512,,0.720156,,0.8050956598386111,train,33.0
48,2drlsti7,750,controlnet_segmentation,brisque_best,0.3878406298669594,0.7235679686593538,,0.681364349571794,,0.7653859482007409,train,34.0
49,hnhwsbvn,750,lllyasviel_canny,brisque_best,0.509957784636795,0.8096099426573429,,0.7273464666666666,,0.8210045713218938,train,35.0
50,jwsqm8ty,750,lllyasviel_openpose,brisque_best,0.4659406493979438,0.814218984662391,,0.7639248000000001,,0.8094279733847088,train,36.0
51,ncfgs1pd,750,crucible_mediapipe_face,brisque_best,0.3102723508824673,0.6576611578753508,,0.5999958666666667,,0.7030035237763644,train,37.0
52,sqlx4ev4,750,lllyasviel_canny,clipiqa+_best,0.5244037893670412,0.8409385356491538,,0.7658504,,0.83172978147858,train,38.0
53,w0bly2jk,750,crucible_mediapipe_face,clipiqa+_best,0.3244715712026572,0.6330585685947564,,0.5840349540651762,,0.6859901506617794,train,39.0
54,h1ujtk8g,750,controlnet_segmentation,clipiqa+_best,0.4049698048968457,0.7480008628005589,,0.6985769023233759,,0.7549494058234062,train,40.0
55,417g2na6,875,controlnet_segmentation,coreset,0.3644706034224518,0.692783960043614,,0.6347456666666667,,0.7306722595059664,train,41.0
56,g234huzd,500,lllyasviel_openpose,nima_best,0.4764289383145243,0.816772523559138,,0.7240475844511178,,0.8196340531466071,train,42.0
57,8ehfst42,500,lllyasviel_canny,nima_best,0.4960363786215371,0.8116499048330126,,0.7409799204924223,,0.8066167127800893,train,43.0
58,ssfu7atr,500,crucible_mediapipe_face,nima_best,0.3807838490713841,0.711627861134118,,0.6464222,,0.7309371727950085,train,44.0
59,msc0mrac,625,crucible_mediapipe_face,brisque_best,0.3515828120986274,0.6926487831104534,,0.6435734666666667,,0.7194784276893782,train,45.0
60,gce336bs,625,controlnet_segmentation,clipiqa+_best,0.3799181005851448,0.7278265530304818,,0.6816216,,0.7444314008099303,train,46.0
61,wkyebnzb,625,crucible_mediapipe_face,clipiqa+_best,0.3371356400751225,0.6473596998221339,,0.5775235333333333,,0.7159981753780132,train,47.0
62,i86yqrgn,625,lllyasviel_openpose,clipiqa+_best,0.5000892621302683,0.8408060110571557,,0.785853,,0.8370311982842761,train,48.0
