,id,perc_syn,method,sampling,map,map50,precision,recall,fitness,set,Unnamed: 0
104,jkubh2u8,625,lllyasviel_canny,nima_best,0.5033379801416777,0.8013346458352429,0.8040654619978231,0.7533333333333333,0.5331376467110343,test,90.0
105,m3e7vub4,625,crucible_mediapipe_face,nima_best,0.3607581514374118,0.7037188816293284,0.6783514647306417,0.6959663669720724,0.3950542244566034,test,91.0
106,mujqryu8,625,controlnet_segmentation,nima_best,0.4054715257886019,0.7707499251579373,0.7759021847607942,0.7155523564157115,0.4419993657255355,test,92.0
107,ht7xkygg,500,lllyasviel_openpose,brisque_best,0.4837334547935906,0.8226865923818578,0.8411845532302477,0.7366666666666667,0.5176287685524174,test,93.0
108,07aswivt,500,controlnet_segmentation,brisque_best,0.4032466437836763,0.7421130633667108,0.787788208965402,0.6733333333333333,0.4371332857419798,test,94.0
109,18oxijx7,500,crucible_mediapipe_face,brisque_best,0.392704013574821,0.7167437602306558,0.7654103320432464,0.6090518159097583,0.4251079882404045,test,95.0
110,kfwj8vck,500,lllyasviel_canny,brisque_best,0.49258338912599,0.8173695404656675,0.7960173509373957,0.741454704984173,0.5250620042599577,test,96.0
111,ghc3wj1c,500,crucible_mediapipe_face,clipiqa+_best,0.3830001909575136,0.7117373994663625,0.7657472907625211,0.6333333333333333,0.4158739118083985,test,97.0
112,sawemljf,500,lllyasviel_openpose,clipiqa+_best,0.4895028427510598,0.811538487425264,0.8487859997548703,0.7297097863031144,0.5217064072184803,test,98.0
113,73znogxq,500,controlnet_segmentation,clipiqa+_best,0.4220554767521724,0.7787246045907934,0.7355073980781344,0.7133333333333334,0.4577223895360345,test,99.0
114,giz9j2g0,500,lllyasviel_canny,clipiqa+_best,0.4846788818063683,0.8097842392870234,0.8358835337466665,0.71,0.5171894175544338,test,100.0
115,ionvmcry,375,lllyasviel_openpose,clipiqa+_best,0.4808354597757212,0.8261263404445044,0.8280889876992502,0.7333333333333333,0.5153645478425996,test,101.0
116,xbcqsmp9,375,controlnet_segmentation,clipiqa+_best,0.4121365154127982,0.7452594096510579,0.7738514342180717,0.672969396951319,0.4454488048366242,test,102.0
117,b1ymvqxe,375,crucible_mediapipe_face,clipiqa+_best,0.4162599502616906,0.7338287040750331,0.7848176450843416,0.6533333333333333,0.4480168256430249,test,103.0
118,z5pjwr4z,375,lllyasviel_canny,clipiqa+_best,0.4826025185228514,0.7949780100230404,0.7296592625023373,0.7433333333333333,0.5138400676728704,test,104.0
119,p9fqvr49,375,controlnet_segmentation,brisque_best,0.4089270393974587,0.7568298003725966,0.7572719415494746,0.6967639042457928,0.4437173154949725,test,105.0
120,jkixjqef,375,lllyasviel_openpose,brisque_best,0.4779725939367248,0.8135020946392637,0.7819299296094746,0.7410434678812299,0.5115255440069788,test,106.0
121,8kxl1dsp,875,crucible_mediapipe_face,nima_best,0.3546330450901528,0.7094512009503661,0.7271014359088475,0.6733333333333333,0.3901148606761742,test,107.0
122,a66usfne,750,lllyasviel_canny,nima_best,0.5155078076555186,0.8360827450548168,0.843620261360426,0.7433333333333333,0.5475653013954485,test,108.0
123,dylth4jz,875,lllyasviel_canny,nima_best,0.5422169551117124,0.8490372899793102,0.8496569889413114,0.7535282223824847,0.5728989885984722,test,109.0
124,dylth4jz,875,lllyasviel_canny,nima_best,0.5422169551117124,0.8490372899793102,0.8496569889413114,0.7535282223824847,0.5728989885984722,test,110.0
125,t7pt6dy5,750,lllyasviel_openpose,nima_best,0.4947406569816013,0.8480465818866408,0.8179781250829252,0.7789357035582841,0.5300712494721053,test,111.0
126,thrlhmie,875,lllyasviel_openpose,nima_best,0.512091794023731,0.821855499499711,0.8172333349830548,0.7452458615601646,0.543068164571329,test,112.0
127,u1nb9tf9,875,controlnet_segmentation,nima_best,0.3433867253018304,0.6872165747386677,0.7234063288131081,0.6066666666666667,0.3777697102455142,test,113.0
128,d0np9zji,750,crucible_mediapipe_face,nima_best,0.3492543976161362,0.6985620949621133,0.7631634317609451,0.61,0.3841851673507339,test,114.0
129,vcf9o7pe,750,controlnet_segmentation,nima_best,0.385201560028406,0.7556762141841549,0.7948375951604728,0.6715290730898915,0.4222490254439809,test,115.0
130,532i18jj,375,lllyasviel_canny,brisque_best,0.4815516574333178,0.8128735748077913,0.7520906262970987,0.7666666666666667,0.5146838491707652,test,116.0
131,apv8iotw,375,crucible_mediapipe_face,brisque_best,0.425622447737889,0.7871044749331056,0.8389169929752351,0.6533333333333333,0.4617706504574106,test,117.0
132,4hia7h1b,375,lllyasviel_canny,random,0.500902109028068,0.8307973183725899,0.8411976663690088,0.7333333333333333,0.5338916299625202,test,118.0
133,90z5lzvd,375,crucible_mediapipe_face,random,0.4071987212982391,0.7285506382389197,0.7083995151539281,0.6866666666666666,0.4393339129923072,test,119.0
134,9adnsj3j,375,controlnet_segmentation,random,0.3992679898632661,0.7418011412737624,0.7664467610072458,0.6672766344916655,0.4335213050043158,test,120.0
135,gmm96php,375,lllyasviel_openpose,random,0.4628096693718415,0.8082325904952464,0.79407966733899,0.7166666666666667,0.497351961484182,test,121.0
136,bvggvjy6,625,lllyasviel_canny,random,0.5051512942250317,0.8109580751733079,0.8432467016776788,0.7,0.5357319723198594,test,122.0
137,nsqqdhmz,625,controlnet_segmentation,random,0.4114738596365418,0.749417225377264,0.7551459633621954,0.6784975413634471,0.445268196210614,test,123.0
138,4npsolmu,625,crucible_mediapipe_face,random,0.3905647148439126,0.7359718744770121,0.7209518245200968,0.6833333333333333,0.4251054308072226,test,124.0
139,ysz08k3g,625,lllyasviel_openpose,random,0.5082339905705041,0.8388932377783921,0.8675079019457927,0.73,0.541299915291293,test,125.0
140,bia35i15,750,lllyasviel_canny,random,0.5381007634891037,0.849461994965639,0.8487080258306741,0.7566666666666667,0.5692368866367572,test,126.0
141,hfn8qvo5,750,crucible_mediapipe_face,random,0.3656311574085801,0.7154461707902476,0.7149323509287798,0.69,0.4006126587467468,test,127.0
142,qjhi4z88,750,controlnet_segmentation,random,0.3610813849480973,0.7090324961874759,0.7045763766986145,0.6866666666666666,0.3958764960720352,test,128.0
143,tcvckpy1,750,lllyasviel_openpose,random,0.5001177900957366,0.8306148030484257,0.7971060240560871,0.78,0.5331674913910056,test,129.0
144,63u2b5h5,875,lllyasviel_canny,random,0.5333430833449695,0.8246671074253105,0.7913510471904781,0.7964758143761287,0.5624754857530037,test,130.0
145,99zhxtj0,875,crucible_mediapipe_face,random,0.3366247325679822,0.6773890029701618,0.6545763351329411,0.6666666666666666,0.3707011596082001,test,131.0
